Flight Number,Assigned Gate,Arrival Time,Departure Time,Near Gate
EU6662,159,06-13 23:15,06-14 08:05,Yes
TV9962,102,06-13 23:15,06-14 10:05,Yes
3U8864,353,06-13 23:20,06-14 08:00,No
CA4334,107,06-13 23:20,06-14 06:55,Yes
CA4044,330,06-13 23:30,06-14 09:50,No
CA4106,314,06-13 23:35,06-14 07:00,No
3U8574,619,06-13 23:40,06-14 09:30,No
3U8986,238,06-13 23:40,06-14 06:05,No
CA4212,114,06-13 23:40,06-14 10:55,Yes
CA4232,324,06-13 23:40,06-14 08:30,No
CA4510,502,06-13 23:40,06-14 07:30,No
CA4412,711,06-13 23:45,06-14 06:35,No
3U8670,208,06-13 23:55,06-14 06:40,No
3U8708,206,06-13 23:55,06-14 07:30,No
CA4502,611,06-13 23:55,06-14 07:15,No
MU5497,144,06-13 23:55,06-14 06:55,Yes
